500 26 1000
473 0.823512 -0.028916 0.597415
234 0.629412 -0.036625 0.459949
326 0.667473 0.159842 0.452026
123 0.535304 0.214205 0.496715
24 0.775304 0.131602 0.548286
364 0.815043 -0.073128 0.546527
108 0.735897 0.099514 0.365517
449 0.694585 0.008126 0.465369
31 0.641346 0.058284 0.248745
282 0.969218 -0.140826 0.406025
234 0.675614 -0.105341 0.537565
36 0.771529 0.038545 0.445490
147 0.730812 0.082331 0.182482
30 0.545998 0.082887 0.701349
141 0.804890 0.138588 0.538426
244 0.738555 0.103510 0.361401
298 0.564096 0.217741 0.382593
316 0.707094 -0.001503 0.345251
212 0.746937 -0.043277 0.427938
148 0.652897 0.036319 0.429144
340 0.680765 0.250331 0.576370
284 0.656919 0.040240 0.490924
150 0.870090 0.003312 0.435857
188 0.691735 -0.031935 0.630708
484 0.820473 -0.077758 0.564664
508 0.730375 -0.085121 0.586831
197 0.722001 0.085106 0.563969
184 0.729693 0.054610 0.515920
93 0.793159 0.007191 0.567449
362 0.817181 0.088010 0.521491
301 0.731870 0.059379 0.363908
315 0.704618 -0.026991 0.268139
235 0.577067 0.165342 0.393354
412 0.726160 -0.085328 0.435786
310 0.650212 0.037657 0.313870
230 0.895020 0.063483 0.298954
348 0.806512 0.160911 0.671290
410 0.665598 0.070927 0.303852
373 0.723096 0.238046 0.429227
157 0.665236 0.170024 0.342916
399 0.881834 0.030919 0.629775
43 0.688489 0.076799 0.519637
354 0.665660 0.115155 0.581881
493 0.530130 -0.157409 0.541383
131 0.609157 0.108857 0.387975
128 0.743608 0.154785 0.593995
149 0.837099 0.226636 0.503773
46 0.797900 -0.117429 0.572213
104 0.741173 0.131951 0.504408
71 0.652558 0.036304 0.510672
270 0.986569 0.155087 0.528093
17 0.764942 -0.198208 0.655150
340 0.464366 0.151390 0.527709
311 0.859346 0.031719 0.379830
60 0.703356 -0.038586 0.576967
496 0.620483 -0.004562 0.280637
86 0.603397 0.182920 0.469264
310 0.717161 0.095542 0.440211
89 0.641702 -0.050500 0.559164
122 0.865858 0.086480 0.495305
125 0.804531 0.190936 0.405294
261 0.682553 0.146668 0.340061
140 0.782067 0.165382 0.418042
29 0.743626 -0.054565 0.381796
24 0.711746 0.080689 0.523742
353 0.833165 0.063412 0.294003
164 0.713785 0.018730 0.448561
284 0.634913 -0.029180 0.460936
281 0.804493 -0.087770 0.606853
225 0.719400 0.081889 0.511910
84 0.741977 0.157747 0.472545
55 0.770767 0.103500 0.552997
72 0.720022 0.259206 0.596377
459 0.750363 0.177521 0.495600
175 0.575165 0.149823 0.565585
149 0.678183 0.065938 0.387760
282 0.891330 0.058994 0.496445
193 0.474924 -0.151703 0.490742
257 0.686394 0.047605 0.406649
399 0.752847 0.126154 0.449445
191 0.743182 0.149543 0.564521
30 0.600326 0.217757 0.518379
223 0.803383 0.096938 0.508203
476 0.695146 0.003746 0.646520
346 0.645619 0.301523 0.601318
33 0.706584 0.248539 0.711772
197 0.711736 0.131863 0.669360
430 0.751639 0.045009 0.482237
324 0.778632 0.115029 0.473913
421 0.581989 0.036676 0.580147
34 0.580277 0.174439 0.482205
269 0.674515 -0.217885 0.445415
273 0.622550 0.109251 0.483807
419 0.742442 0.137779 0.465257
13 0.995928 -0.076980 0.462069
442 0.802694 0.028513 0.280386
207 0.782285 0.096397 0.493163
48 0.773269 -0.030596 0.553795
231 0.807327 -0.098176 0.638415
428 0.655098 0.067261 0.445849
420 0.633319 0.042251 0.320367
522 0.462893 -0.376765 0.436479
189 0.665066 -0.029533 0.391457
424 0.786148 0.242529 0.383017
245 0.767916 0.193414 0.522825
181 0.545777 0.121681 0.550725
341 0.755094 0.210443 0.410423
334 0.635923 0.034593 0.565001
231 0.774383 0.061291 0.398136
371 0.513780 -0.012454 0.606975
96 0.585805 -0.120356 0.443007
361 0.728356 -0.035625 0.510355
495 0.884329 0.140078 0.323476
497 0.614583 0.000109 0.658421
407 0.771391 0.105513 0.443979
59 0.965248 0.173031 0.443168
486 0.844194 -0.103676 0.333310
322 0.449272 0.218348 0.303039
526 0.721657 -0.066022 0.469915
56 0.800186 0.120417 0.365909
60 0.680639 0.079195 0.583895
332 0.512046 0.179022 0.467574
466 0.858242 -0.008989 0.440042
410 0.759364 0.009752 0.390294
471 0.780138 -0.159826 0.542941
80 0.684624 -0.015528 0.428686
72 0.821999 0.118243 0.654830
242 0.690577 0.043214 0.623886
298 0.694966 0.036914 0.261369
324 0.649018 0.069054 0.591342
459 0.706026 0.019243 0.549832
166 0.631540 0.278080 0.282100
507 0.907457 -0.149038 0.443536
457 0.852167 0.129919 0.479457
13 0.796498 0.003947 0.456056
219 0.604390 0.040894 0.492782
134 0.601686 0.136400 0.486151
453 0.691820 -0.210410 0.375897
498 0.656718 -0.065138 0.463665
305 0.642986 0.141953 0.483202
524 0.862556 0.125998 0.525276
521 0.594658 -0.242292 0.400923
284 0.663868 -0.009307 0.607432
468 0.700643 -0.055721 0.600070
13 0.677061 -0.019902 0.377136
463 0.670227 0.163310 0.467213
518 0.763990 -0.392316 0.507868
230 0.826181 0.104375 0.429643
256 0.831158 -0.190947 0.468288
477 0.899871 0.080777 0.507973
116 0.676444 0.067981 0.399454
379 0.704388 0.063000 0.562591
40 0.596546 0.086184 0.427056
432 0.455204 0.286945 0.608801
536 0.736269 0.046584 0.415675
319 0.543950 0.192277 0.596333
333 0.788854 0.168329 0.591685
463 0.552733 0.072125 0.601606
14 0.648144 0.014480 0.538610
164 0.669656 0.095713 0.614109
312 0.621265 0.280160 0.330914
173 0.585250 0.162025 0.285879
405 0.720155 0.004345 0.663553
182 0.553408 -0.169991 0.597556
236 0.591912 0.004545 0.544474
4 0.833094 0.145841 0.643588
244 0.636477 0.161795 0.321063
274 0.649968 0.187097 0.565564
102 0.663094 0.320940 0.487783
275 0.616293 -0.165202 0.491288
527 0.787061 0.222047 0.356599
57 0.692520 0.112158 0.602934
38 0.702093 0.120632 0.391563
127 0.749345 0.183356 0.522947
170 0.811032 -0.025760 0.504353
244 0.887770 0.021014 0.457663
490 0.499460 -0.356411 0.467920
122 0.824138 0.365903 0.356460
224 0.785396 0.269286 0.556834
87 0.559426 0.198172 0.392016
384 0.693935 0.007034 0.584530
474 0.526014 -0.124622 0.556791
321 0.756366 -0.117608 0.500540
487 0.388978 -0.128269 0.502429
526 0.741070 0.154559 0.443070
404 0.729694 0.186945 0.422570
17 0.792929 0.070830 0.601724
121 0.601370 0.208306 0.506650
258 0.821294 0.000709 0.367731
225 0.884064 0.034983 0.606985
384 0.793095 0.042961 0.449002
47 0.776510 -0.058647 0.651819
323 0.607565 0.080513 0.440848
27 0.742747 -0.033453 0.473796
198 0.687737 -0.003210 0.518811
5 0.678849 0.159804 0.566433
317 0.731177 0.141762 0.528540
90 0.519397 -0.086870 0.468853
168 0.809718 0.255613 0.531145
16 0.797121 -0.039688 0.576288
535 0.688816 -0.203974 0.543313
18 0.802899 0.000553 0.588792
